Description,Duration (HH:MM:SS),Member,Project,Date,Start Time,End Time,Tags
Añadir posibilidad de eliminar zona seleccionada Manípulos - Integración GLB •,00:39:54,Alberto,Contour,2024-10-20,10:18,10:58,
Añadir posibilidad de eliminar zona seleccionada,04:45:37,Alberto,Contour,2024-10-19,09:01,13:46,
Reunión,00:42:52,Alberto,Contour,2024-10-16,11:59,12:42,
Panel de administración Investigación - Integración •,03:58:47,Alberto,Connected,2024-10-13,10:36,14:34,
GLB de manípulo con modelo GLB Investigación - Integración •,03:13:00,Dani,Contour,2024-10-13,09:25,12:38,
GLB de manípulo con modelo GLB Investigación - Integración •,02:31:52,Alberto,Contour,2024-10-13,06:53,09:25,
GLB de manípulo con modelo GLB Investigación - Integración •,03:57:17,Alberto,Contour,2024-10-10,15:22,19:19,
GLB de manípulo con modelo GLB Investigación - Integración •,03:42:07,Alberto,Contour,2024-10-10,07:02,10:44,
GLB de manípulo con modelo GLB Investigación - Integración •,01:46:35,Alberto,Contour,2024-10-09,17:58,19:44,
GLB de manípulo con modelo GLB,02:27:52,Alberto,Contour,2024-10-09,07:13,09:40,
Manípulos  Configuración,02:10:28,Alberto,Contour,2024-10-08,15:31,17:42,
Manípulos  Configuración,01:10:46,Alberto,Contour,2024-10-08,13:11,14:21,
Manípulos  Configuración,01:08:12,Alberto,Contour,2024-10-07,16:38,17:46,
Manípulos  Configuración,01:50:41,Alberto,Contour,2024-10-07,12:18,14:08,
Manípulos  Configuración,02:35:12,Alberto,Contour,2024-10-07,09:42,12:17,
Revisión y ajustes menores,02:27:00,Dani,Contour,2024-10-03,13:57,16:24,
Manípulo - Posicionamiento Connected,02:27:00,Dani,Manípulo - Posicionamiento Connected,2024-10-03,11:30,13:57,
Manípulos  Configuración,00:39:41,Alberto,Contour,2024-10-03,10:24,11:04,
Manípulos  Configuración,01:19:00,Dani,Connected,2024-10-03,09:05,10:24,
Manípulos  Configuración,01:12:47,Alberto,Contour,2024-10-03,07:52,09:05,
Manípulo - Posicionamiento Contour,01:08:14,Alberto,Manípulo - Posicionamiento Contour,2024-10-03,06:40,07:48,
Ajustes  Conexión wifi,01:49:05,Alberto,Contour,2024-10-01,10:28,12:17,
Ajustes  Conexión wifi,00:31:48,Alberto,Contour,2024-10-01,09:49,10:20,
General - Cambios en el Contour,02:40:28,Alberto,General - Cambios en el Contour,2024-10-01,07:07,09:47,
Login Paciente  Lector QR,01:40:01,Alberto,Contour,2024-09-30,11:16,12:56,
